UUID, Name,Email
f7284ffa-9526-4422-b5e6-e7c85d8506a7,Bob,bob@example.com
ef2030eb-c13d-4846-8f74-cc51134e778d,Bob,bob@example.com
c25656bb-e563-4b58-b464-c03957bc512f,Frank,frank@mail.com
cf9f1d0b-7295-40d7-b56d-72f079f5e43d,Eve,eve@example.com
df092205-f853-40b9-89dc-9e9f205087f8,Eve,eve@example.com
96802e42-9173-4b69-99d8-2cc03fcf4779,Alice,alice@mail.com
b4141b26-853c-4582-9911-bb2478ef7019,Alice,alice@mail.com
1e850807-d639-476b-9294-e2b38f5f0e35,Bob,bob@example.com
32c0849c-fe0b-488c-9f2e-22557bbdbcad,Eve,eve@mail.com
a985b918-40d0-47dd-9e50-f1ff58974ecc,Daisy,daisy@domain.org
07c4b1c3-bf49-4b56-988a-8f13619cd17e,Daisy,daisy@example.com
780cad5a-b869-4d54-a67a-608d9a39624d,Frank,frank@domain.org
63512a0f-7da0-404d-afa8-10207d9215a9,John,john@example.com
be5de4f5-5c74-461a-9622-58188420bca5,Daisy,daisy@mail.com
0ef1007c-d6e6-4d6e-a026-f41cc57b78f3,Alice,alice@domain.org
266011ba-3b48-4749-8f89-6a33ca2e170d,Charlie,charlie@mail.com
5073bbf5-69a9-4b92-9721-e7508d9c7f08,Eve,eve@example.com
11291f49-c83e-4b58-84a2-84871be202f6,Alice,alice@mail.com
84b41509-4831-48bf-8282-e25b09edcb00,Jane,jane@domain.org
123f6f97-3aca-4c6a-8f9f-6f2a73d80435,Alice,alice@domain.org
7545050b-e75c-4c62-ac36-4a554a64ed75,Bob,bob@example.com
f6b293e2-880f-4f18-88d3-e01f2275224c,John,john@mail.com
540421a7-3229-4a82-a3ca-1388e32318ce,Eve,eve@domain.org
71f7dafa-4541-4e3d-87df-0b4d6bdc8784,Alice,alice@mail.com
2d3e81f0-2793-4091-ae60-9f8cee9ce65e,Eve,eve@domain.org
f98d6fe8-4d37-4abd-ae43-9b05c9b17aaf,Alice,alice@mail.com
4c5f3b98-dd1a-4762-9549-c50e81bce8bd,Bob,bob@example.com
380ef626-922d-45a9-a9d7-6751bf78dd58,Bob,bob@mail.com
2da6f958-e7cc-4d6c-a13e-3983989ec21a,Daisy,daisy@mail.com
5843abbd-54de-4813-834d-009328b954fa,Daisy,daisy@domain.org
fa345cf9-a986-4575-ac77-c3ab33951823,Frank,frank@example.com
a176a283-93a4-4276-bd40-e75594f52d68,Eve,eve@example.com
aec3c278-092e-4504-8290-b87ea1e9fdd8,Frank,frank@mail.com
e0022be5-49ff-4029-a018-2f151971c074,Frank,frank@example.com
0799ddf0-b651-4501-b829-26f3b47fe323,Frank,frank@mail.com
044b4967-9de7-405c-8d86-977515853e7e,Bob,bob@example.com
30f1d1fe-c287-4998-995e-2dff29409856,John,john@mail.com
2bf81dfb-f4b6-4d21-8b45-57511ca6c3e2,Eve,eve@domain.org
95a08c6f-166a-436b-933a-1c554b1b13df,Daisy,daisy@mail.com
4261ea42-d30e-496d-8765-8763453ab8b5,John,john@example.com
91d98c52-fcf4-482b-b0d3-a1fe104ee6a3,Jane,jane@domain.org
44f6398b-1181-465c-951e-742d28c42153,Frank,frank@mail.com
01cc807f-74ef-4833-8de9-93c9b9174a32,John,john@domain.org
74aada2a-61a0-4af3-b122-9e69077a4408,Frank,frank@mail.com
8eaeb258-546c-4563-ac8e-5c00c01eb0bd,Eve,eve@example.com
bc7a80f6-ab69-4bf9-97c5-4ca6b18ac46d,Charlie,charlie@mail.com
66784399-16e3-433f-891b-83f8a750957b,Charlie,charlie@domain.org
d890c21f-26ba-4e37-8566-d88129f6c426,Bob,bob@example.com
042eca4d-8a4e-4527-80fb-66a3e74fe2cf,Daisy,daisy@example.com
9df7f60f-bce9-44d2-b8d7-89a049c8a8a6,Bob,bob@domain.org
5f8a7ea0-28b7-4fca-9e03-83d872badbed,Bob,bob@example.com
5ca6b0e3-0923-4f28-afb8-0fcea5024fc2,Alice,alice@example.com
